Number of Clusters,Silhouette Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,Config,test_set,selection_metric,budget,model,DBCV Score
0,-1.0,-1.0,3,3,,mnist,kmnc,100,lenet1,-1.0
2,0.13724763691425323,0.07134151055819195,5,0,,mnist,kmnc,150,lenet1,0.005435384202130673
2,0.09735310822725296,0.023724929512714772,7,0,,mnist,kmnc,200,lenet1,-0.049903249201823416
-1,-1.0,-1.0,1,-1,-1.0,mnist,nac,50,lenet1,
1,0.12715411186218262,0.3280713925193508,4,2,,mnist,nac,100,lenet1,0.528988673176519
2,0.1875106692314148,0.112288796233883,6,0,,mnist,nac,150,lenet1,0.037066923236351225
2,0.2695922553539276,0.15628349013916726,9,0,,mnist,nac,200,lenet1,0.04297472492440692
0,-1.0,-1.0,3,3,,mnist,lsa,50,lenet1,-1.0
0,-1.0,-1.0,4,4,,mnist,lsa,100,lenet1,-1.0
2,0.04459231346845627,,7,1,,mnist,lsa,150,lenet1,
2,0.07131615281105042,0.03655001970385666,11,2,,mnist,lsa,200,lenet1,0.0017838865966628918
5,0.2618069052696228,,21,1,,mnist,dsa,50,lenet1,
7,0.3119679093360901,0.17221717411786938,35,7,,mnist,dsa,100,lenet1,0.032466438899648696
10,0.2597023844718933,0.18215959180961117,55,8,,mnist,dsa,150,lenet1,0.10461679914732899
8,0.1672702580690384,,70,1,,mnist,dsa,200,lenet1,
0,-1.0,-1.0,4,4,,mnist,std,50,lenet1,-1.0
0,-1.0,-1.0,5,5,,mnist,std,100,lenet1,-1.0
1,0.03876769542694092,,5,1,,mnist,std,150,lenet1,
1,-1.0,-1.0,5,0,,mnist,std,200,lenet1,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,pace,50,lenet1,
0,-1.0,-1.0,3,3,,mnist,pace,100,lenet1,-1.0
2,0.1716327667236328,0.08221465421144117,8,3,,mnist,pace,150,lenet1,-0.00720345830075048
2,0.14483360946178436,0.09336768560458948,8,3,,mnist,pace,200,lenet1,0.0419017617473946
-1,-1.0,-1.0,0,-1,-1.0,mnist,dr,50,lenet4,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dr,100,lenet4,
-1,-1.0,-1.0,2,-1,-1.0,mnist,dr,150,lenet4,
0,-1.0,-1.0,3,3,,mnist,dr,200,lenet4,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,ces,50,lenet4,
0,-1.0,-1.0,7,7,,mnist,ces,100,lenet4,-1.0
2,0.022541003301739693,,7,1,,mnist,ces,150,lenet4,
1,0.052515897899866104,0.29031204740049266,4,2,,mnist,ces,200,lenet4,0.5281081969011192
9,0.27248528599739075,0.19293900843616646,33,5,,mnist,mcp,50,lenet4,0.11339273087494217
8,0.2366717904806137,0.17744683558314917,55,4,,mnist,mcp,100,lenet4,0.1182218806856846
6,0.14099417626857758,0.07834915046423564,70,6,,mnist,mcp,150,lenet4,0.015704124659893702
14,0.14707666635513306,0.10157009081141653,90,9,,mnist,mcp,200,lenet4,0.0560635152677
4,0.15032848715782166,0.10038598022916881,16,4,,mnist,est,50,lenet4,0.05044347330051597
4,0.1954631805419922,0.14014479507521005,26,2,,mnist,est,100,lenet4,0.0848264096084279
8,0.191653773188591,0.11847823924327795,49,7,,mnist,est,150,lenet4,0.0453027052979649
8,0.27088555693626404,,53,1,,mnist,est,200,lenet4,
0,-1.0,-1.0,3,3,,mnist,rnd,50,lenet4,-1.0
2,0.10600904375314713,,6,1,,mnist,rnd,100,lenet4,
1,0.07581605017185211,0.31680003509875987,4,2,,mnist,rnd,150,lenet4,0.5577840200256676
2,0.17090097069740295,0.1068439862502651,5,0,,mnist,rnd,200,lenet4,0.04278700180312725
5,0.19202864170074463,0.19831230753945947,29,4,,mnist,ent,50,lenet4,0.2045959733781743
11,0.28318965435028076,0.1891391123783019,53,7,,mnist,ent,100,lenet4,0.095088570406323
12,0.24669373035430908,0.19623190917756367,73,5,,mnist,ent,150,lenet4,0.14577008800081828
4,-0.14420880377292633,-0.06591739205577041,91,3,,mnist,ent,200,lenet4,0.012374019661385526
6,0.2132827490568161,0.13069018612070313,29,8,,mnist,gini,50,lenet4,0.048097623184590155
10,0.13607069849967957,0.15898249320579758,54,6,,mnist,gini,100,lenet4,0.1818942879119156
11,0.21436914801597595,0.1574153116237072,73,3,,mnist,gini,150,lenet4,0.10046147523143842
5,0.20094212889671326,0.17447664008156655,93,7,,mnist,gini,200,lenet4,0.14801115126641984
-1,-1.0,-1.0,2,-1,-1.0,mnist,dat,50,lenet4,
1,0.11213558912277222,0.09694258101860094,4,2,,mnist,dat,100,lenet4,0.08174957291442966
0,-1.0,-1.0,3,3,,mnist,dat,150,lenet4,-1.0
2,0.11899363994598389,0.06663272012682575,9,5,,mnist,dat,200,lenet4,0.014271800307667608
0,-1.0,-1.0,3,3,,mnist,gd,50,lenet4,-1.0
0,-1.0,-1.0,3,3,,mnist,gd,100,lenet4,-1.0
2,0.016805371269583702,,7,1,,mnist,gd,150,lenet4,
2,-0.001800383790396154,,7,1,,mnist,gd,200,lenet4,
1,0.06524522602558136,0.04431450096544532,4,2,,mnist,kmnc,50,lenet4,0.023383775905309278
1,0.22163069248199463,0.11602414501078433,4,2,,mnist,kmnc,100,lenet4,0.010417597539574027
2,0.19007740914821625,0.09939530985544218,7,0,,mnist,kmnc,150,lenet4,0.008713210562668092
2,0.09584169089794159,0.3045912070845679,7,3,,mnist,kmnc,200,lenet4,0.5133407232711942
1,0.2226482778787613,0.14425984899441502,7,5,,mnist,nac,50,lenet4,0.06587142011006873
2,0.029056545346975327,-0.022301892093738375,13,0,,mnist,nac,100,lenet4,-0.07366032953445208
2,0.15966323018074036,0.1417791132003033,14,6,,mnist,nac,150,lenet4,0.12389499621986622
4,0.07907859981060028,0.04908874068978776,17,9,,mnist,nac,200,lenet4,0.01909888156897524
0,-1.0,-1.0,3,3,,mnist,lsa,50,lenet4,-1.0
0,-1.0,-1.0,5,5,,mnist,lsa,100,lenet4,-1.0
2,0.10429949313402176,0.06311939374966741,8,4,,mnist,lsa,150,lenet4,0.021939294365313063
2,0.10355157405138016,0.08991413854885545,9,5,,mnist,lsa,200,lenet4,0.07627670304633075
5,0.19087055325508118,0.175739789664941,35,3,,mnist,dsa,50,lenet4,0.16060902607480082
12,0.25982964038848877,0.19678940442127735,64,7,,mnist,dsa,100,lenet4,0.13374916845406593
14,0.24453933537006378,0.1789055604829163,98,8,,mnist,dsa,150,lenet4,0.11327178559576882
20,0.2095920592546463,0.1647279288141796,117,17,,mnist,dsa,200,lenet4,0.1198637983737129
-1,-1.0,-1.0,1,-1,-1.0,mnist,std,50,lenet4,
-1,-1.0,-1.0,1,-1,-1.0,mnist,std,100,lenet4,
-1,-1.0,-1.0,2,-1,-1.0,mnist,std,150,lenet4,
0,-1.0,-1.0,5,5,,mnist,std,200,lenet4,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,pace,50,lenet4,
1,0.10419510304927826,0.06445481852543518,5,2,,mnist,pace,100,lenet4,0.024714534001592087
-1,-1.0,-1.0,0,-1,-1.0,mnist,pace,150,lenet4,
1,0.2505795359611511,0.16557166570564635,4,2,,mnist,pace,200,lenet4,0.08056379545014157
-1,-1.0,-1.0,0,-1,-1.0,mnist,dr,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,dr,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dr,150,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dr,200,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,ces,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,ces,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,ces,150,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,ces,200,lenet5,
7,0.17166057229042053,0.11955470665456312,25,6,,mnist,mcp,50,lenet5,0.06744884101870571
4,0.1717069000005722,0.13960169061209524,39,3,,mnist,mcp,100,lenet5,0.10749648122361827
13,0.2441316545009613,0.18458857219126096,57,6,,mnist,mcp,150,lenet5,0.1250454898815606
11,0.18396878242492676,0.1473277644346384,70,8,,mnist,mcp,200,lenet5,0.11068674644435009
4,0.19817422330379486,,11,1,,mnist,est,50,lenet5,
5,0.03725166618824005,,35,1,,mnist,est,100,lenet5,
7,0.12474293261766434,0.05742199667502467,43,12,,mnist,est,150,lenet5,-0.00989893926761499
8,0.2221234291791916,0.1584267943527925,50,7,,mnist,est,200,lenet5,0.09473015952639341
-1,-1.0,-1.0,0,-1,-1.0,mnist,rnd,50,lenet5,
0,-1.0,-1.0,3,3,,mnist,rnd,100,lenet5,-1.0
-1,-1.0,-1.0,0,-1,-1.0,mnist,rnd,150,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,rnd,200,lenet5,
7,0.2423635870218277,0.23095855448301103,22,2,,mnist,ent,50,lenet5,0.21955352194419436
5,0.07501779496669769,0.09259501829426774,44,2,,mnist,ent,100,lenet5,0.11017224162183778
11,0.2432365119457245,0.1808877531263454,60,2,,mnist,ent,150,lenet5,0.11853899430696628
16,0.19669464230537415,0.21074316932022946,75,8,,mnist,ent,200,lenet5,0.22479169633508475
5,0.2054470181465149,0.18757660252477565,22,5,,mnist,gini,50,lenet5,0.1697061869030364
13,0.11044037342071533,0.18966316585041237,44,7,,mnist,gini,100,lenet5,0.2688859582801094
7,-0.043615587055683136,,62,1,,mnist,gini,150,lenet5,
8,-0.03670163452625275,,77,1,,mnist,gini,200,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dat,50,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dat,100,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,dat,150,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dat,200,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,gd,50,lenet5,
0,-1.0,-1.0,3,3,,mnist,gd,100,lenet5,-1.0
1,0.06401333212852478,0.30660493435581654,4,2,,mnist,gd,150,lenet5,0.5491965365831083
0,-1.0,-1.0,3,3,,mnist,gd,200,lenet5,-1.0
-1,-1.0,-1.0,1,-1,-1.0,mnist,kmnc,50,lenet5,
1,0.0489705353975296,,4,1,,mnist,kmnc,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,kmnc,150,lenet5,
0,-1.0,-1.0,3,3,,mnist,kmnc,200,lenet5,-1.0
-1,-1.0,-1.0,1,-1,-1.0,mnist,nac,50,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist,nac,100,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist,nac,150,lenet5,
0,-1.0,-1.0,3,3,,mnist,nac,200,lenet5,-1.0
-1,-1.0,-1.0,0,-1,-1.0,mnist,lsa,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,lsa,100,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,lsa,150,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,lsa,200,lenet5,
7,0.21632343530654907,0.16941623696071167,33,4,,mnist,dsa,50,lenet5,0.1225090386148743
6,0.20167486369609833,0.15475617379165574,54,2,,mnist,dsa,100,lenet5,0.10783748388721312
14,0.24232074618339539,0.155308062674296,70,11,,mnist,dsa,150,lenet5,0.06829537916519664
20,0.21102336049079895,0.15595086505536432,82,17,,mnist,dsa,200,lenet5,0.10087836961992969
-1,-1.0,-1.0,1,-1,-1.0,mnist,std,50,lenet5,
0,-1.0,-1.0,3,3,,mnist,std,100,lenet5,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,std,150,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist,std,200,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,pace,50,lenet5,
0,-1.0,-1.0,3,3,,mnist,pace,100,lenet5,-1.0
0,-1.0,-1.0,3,3,,mnist,pace,150,lenet5,-1.0
0,-1.0,-1.0,6,6,,mnist,pace,200,lenet5,-1.0
