model,test_set,selection_metric,budget,mse
dave2v3,udacity,rnd,150,0.02306467294692993
dave2v3,udacity,rnd,200,0.023586103692650795
dave2v3,udacity,ent,50,0.025974707677960396
epoch,udacity,pace,100,0.0007845103973522782
dave2v3,udacity,ent,100,0.035810425877571106
dave2v3,udacity,ent,150,0.04085472226142883
dave2v3,udacity,ent,200,0.05074090510606766
dave2v3,udacity,gini,50,0.010411723516881466
dave2v3,udacity,gini,100,0.00986986979842186
dave2v3,udacity,gini,150,0.011841107159852982
dave2v3,udacity,gini,200,0.010965541936457157
epoch,udacity,pace,150,0.0025501828640699387
epoch,udacity,pace,200,0.0023355407174676657
epoch,udacity,dr,50,0.01197888609021902
dave2v3,udacity,gd,50,0.03283092379570007
epoch,udacity,dr,100,0.01944688707590103
dave2v3,udacity,gd,100,0.01845446228981018
epoch,udacity,dr,150,0.020316964015364647
epoch,udacity,dr,200,0.01713436469435692
dave2v3,udacity,gd,150,0.041750360280275345
dave2v3,udacity,gd,200,0.02524651773273945
dave2v3,udacity,std,50,0.19924305379390717
dave2v3,udacity,std,100,0.1501535028219223
dave2v3,udacity,std,150,0.15820136666297913
dave2v3,udacity,std,200,0.1511429250240326
epoch,udacity,rnd,50,0.02261476032435894
epoch,udacity,rnd,100,0.01874198019504547
epoch,udacity,rnd,150,0.021289736032485962
epoch,udacity,rnd,200,0.012764391489326954
epoch,udacity,ent,50,0.04038786515593529
epoch,udacity,ent,100,0.03960331901907921
epoch,udacity,ent,150,0.051974523812532425
epoch,udacity,ent,200,0.06319825351238251
epoch,udacity,gini,50,0.01616671122610569
epoch,udacity,gini,100,0.015132294967770576
epoch,udacity,gini,150,0.015841780230402946
epoch,udacity,gini,200,0.014023742638528347
epoch,udacity,gd,50,0.021312540397047997
epoch,udacity,gd,100,0.009108496829867363
epoch,udacity,gd,150,0.018853461369872093
epoch,udacity,ces,50,0.05812937766313553
epoch,udacity,gd,200,0.011719770729541779
epoch,udacity,std,50,0.025607027113437653
