model,test_set,selection_metric,budget,accuracy
lenet4,mnist,gini,150,0.5133333206176758
lenet4,mnist,gini,200,0.5350000262260437
lenet4,mnist,gd,50,1.0
lenet4,mnist,gd,100,0.9700000286102295
lenet4,mnist,gd,150,0.9200000166893005
lenet4,mnist,gd,200,0.9700000286102295
lenet4,mnist,kmnc,50,1.0
lenet4,mnist,kmnc,100,0.9900000095367432
lenet4,mnist,kmnc,150,0.9800000190734863
lenet4,mnist,kmnc,200,0.9800000190734863
lenet4,mnist,nac,50,1.0
lenet4,mnist,nac,100,1.0
lenet4,mnist,nac,150,1.0
lenet4,mnist,nac,200,1.0
lenet4,mnist,lsa,50,1.0
lenet4,mnist,lsa,100,1.0
lenet4,mnist,lsa,150,1.0
lenet4,mnist,lsa,200,1.0
lenet4,mnist,dsa,50,0.9800000190734863
lenet4,mnist,dsa,100,0.9900000095367432
lenet4,mnist,dsa,150,0.9866666793823242
lenet4,mnist,dsa,200,0.9900000095367432
lenet4,mnist,std,50,1.0
lenet4,mnist,std,100,1.0
lenet4,mnist,std,150,1.0
lenet4,mnist,std,200,1.0
lenet4,mnist,dr,50,0.9800000190734863
lenet4,mnist,dr,100,0.9800000190734863
lenet4,mnist,dr,150,0.9800000190734863
lenet4,mnist,dr,200,0.9850000143051147
lenet4,mnist,mcp,50,0.3799999952316284
lenet4,mnist,mcp,100,0.4399999976158142
lenet4,mnist,mcp,150,0.4866666793823242
lenet4,mnist,mcp,200,0.5099999904632568
lenet4,mnist,est,50,0.4000000059604645
lenet4,mnist,est,100,0.41999998688697815
lenet4,mnist,est,150,0.47999998927116394
lenet4,mnist,est,200,0.4950000047683716
lenet5,mnist,rnd,50,0.9800000190734863
lenet5,mnist,rnd,100,0.9800000190734863
lenet5,mnist,rnd,150,0.9800000190734863
lenet5,mnist,rnd,200,0.9800000190734863
lenet5,mnist,ent,50,0.5600000023841858
lenet5,mnist,ent,100,0.5600000023841858
lenet5,mnist,ent,150,0.6000000238418579
lenet5,mnist,ent,200,0.625
lenet5,mnist,gini,50,0.5600000023841858
lenet5,mnist,gini,100,0.5600000023841858
lenet5,mnist,gini,150,0.5866666436195374
lenet5,mnist,gini,200,0.6150000095367432
lenet5,mnist,gd,50,0.9800000190734863
lenet5,mnist,gd,100,0.9700000286102295
lenet5,mnist,gd,150,0.9800000190734863
lenet5,mnist,gd,200,0.9800000190734863
lenet5,mnist,kmnc,50,1.0
lenet5,mnist,kmnc,100,0.9700000286102295
lenet5,mnist,kmnc,150,0.9800000190734863
lenet5,mnist,kmnc,200,0.9750000238418579
lenet5,mnist,nac,50,1.0
lenet5,mnist,nac,100,1.0
lenet5,mnist,nac,150,1.0
lenet5,mnist,nac,200,1.0
lenet5,mnist,lsa,50,1.0
lenet5,mnist,lsa,100,1.0
lenet5,mnist,lsa,150,1.0
lenet5,mnist,lsa,200,1.0
lenet5,mnist,dsa,50,1.0
lenet5,mnist,dsa,100,1.0
lenet5,mnist,dsa,150,1.0
lenet5,mnist,dsa,200,1.0
lenet5,mnist,std,50,1.0
lenet5,mnist,std,100,1.0
lenet5,mnist,std,150,1.0
lenet5,mnist,std,200,1.0
lenet5,mnist,dr,50,0.9200000166893005
lenet5,mnist,dr,100,0.9399999976158142
lenet5,mnist,dr,150,0.9399999976158142
lenet5,mnist,dr,200,0.9449999928474426
lenet5,mnist,mcp,50,0.6000000238418579
