model,test_set,selection_metric,budget,acc,acc_hat,failures,rmse,retrain_acc,acc_improvement
dave2v1,udacity,dr,50,0.8090775387845962,0.8641343688675938,"[50, 36, 25, 20, 9, 4, 3, 3, 0, 0, 0]",0.055056830082997554,0.8099678734169478,0.0013132880182409323
dave2v1,udacity,dr,100,0.8090775387845962,0.8516141903508438,"[100, 76, 55, 44, 26, 12, 7, 5, 0, 0, 0]",0.04253665156624764,0.8107221415179731,0.002328871004042332
dave2v1,udacity,dr,150,0.8090775387845962,0.8495425889467916,"[150, 109, 82, 62, 36, 15, 9, 7, 1, 1, 1]",0.04046505016219537,0.811518494547339,0.0034315284880275243
dave2v1,udacity,dr,200,0.8090775387845962,0.8310077341302142,"[200, 148, 116, 85, 51, 26, 16, 13, 5, 4, 3]",0.02193019534561802,0.8133005737444474,0.004985115631814141
dave2v1,udacity,ces,50,0.8090775387845962,0.7190351199403441,"[50, 44, 35, 26, 22, 18, 13, 10, 7, 5, 5]",0.09004241884425213,0.8164278330689023,0.006347704797016185
dave2v1,udacity,ces,100,0.8090775387845962,0.7498401374851543,"[100, 89, 80, 68, 50, 34, 23, 20, 13, 10, 9]",0.05923740129944188,0.8185179903774574,0.008195420405675558
dave2v1,udacity,ces,150,0.8090775387845962,0.7474649654265662,"[150, 133, 108, 85, 70, 58, 38, 25, 17, 12, 12]",0.061612573358030054,0.8213781911762612,0.010326109892652147
dave2v1,udacity,ces,200,0.8090775387845962,0.7528382793919738,"[200, 171, 138, 119, 99, 75, 56, 35, 25, 17, 13]",0.05623925939262242,0.8239323124991593,0.012456169646794857
dave2v1,udacity,est,50,0.8090775387845962,0.7722400793401639,"[50, 41, 28, 22, 18, 13, 8, 7, 6, 5, 3]",0.036837459444432286,0.8234463411116766,0.014005487069774558
dave2v1,udacity,est,100,0.8090775387845962,0.7571271758362164,"[100, 87, 74, 63, 54, 43, 33, 18, 12, 7, 5]",0.05195036294837985,0.8249437554234597,0.014792864720804544
dave2v1,udacity,est,150,0.8090775387845962,0.7772454188840342,"[150, 128, 111, 87, 65, 57, 35, 21, 13, 10, 7]",0.031832119900562006,0.8257465354481188,0.015719919958012585
dave2v1,udacity,est,200,0.8090775387845962,0.7894133580564615,"[200, 166, 135, 102, 72, 58, 42, 26, 17, 10, 8]",0.019664180728134695,0.826370022305785,0.016527120733516476
dave2v1,udacity,rnd,50,0.8090775387845962,0.8182496793367893,"[50, 36, 27, 20, 13, 9, 6, 4, 2, 1, 1]",0.009172140552193064,0.8262354259469233,0.017238314329955484
dave2v1,udacity,rnd,100,0.8090775387845962,0.8396961853757463,"[100, 74, 54, 43, 35, 22, 10, 4, 3, 1, 0]",0.0306186465911501,0.826118663036963,0.01755120560727519
dave2v1,udacity,rnd,150,0.8090775387845962,0.8024496640021062,"[150, 116, 97, 75, 52, 36, 21, 15, 9, 6, 6]",0.006627874782490051,0.8275142837756498,0.018251545774557232
