Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold,Config
11,0.26210567355155945,0.14956149595496457,0.20583358475326202,49,7,udacity,ces,100,dave2v1,0.175,
12,0.3497205674648285,0.18025540140036037,0.2649879844325944,70,3,udacity,ces,150,dave2v1,0.175,
21,0.38238266110420227,0.40308080799551665,0.39273173454985943,99,9,udacity,ces,200,dave2v1,0.175,
5,0.13500601053237915,0.22926000122621581,0.18213300587929748,18,3,udacity,est,50,dave2v1,0.175,
13,0.29349422454833984,0.16952348452854674,0.23150885453844328,54,11,udacity,est,100,dave2v1,0.175,
16,0.3291242718696594,0.24933455146171507,0.2892294116656873,65,3,udacity,est,150,dave2v1,0.175,
18,0.3177695870399475,0.20107419730829978,0.25942189217412365,72,7,udacity,est,200,dave2v1,0.175,
5,0.16814908385276794,,,13,1,udacity,rnd,50,dave2v1,0.175,
6,0.10364919900894165,0.06567985822421155,0.0846645286165766,34,0,udacity,rnd,100,dave2v1,0.175,
10,0.18047775328159332,0.08434486517256981,0.13241130922708155,52,7,udacity,rnd,150,dave2v1,0.175,
11,0.3016449213027954,0.12360240813238586,0.21262366471759064,63,2,udacity,rnd,200,dave2v1,0.175,
9,0.3515566885471344,,,30,1,udacity,ent,50,dave2v1,0.175,
14,0.47081202268600464,0.35436378048429823,0.41258790158515146,57,5,udacity,ent,100,dave2v1,0.175,
24,0.3958088159561157,0.314548907135488,0.35517886154580186,88,13,udacity,ent,150,dave2v1,0.175,
24,0.46556854248046875,0.43844479687919047,0.4520066696798296,118,8,udacity,ent,200,dave2v1,0.175,
0,-1.0,-1.0,-1.0,5,5,udacity,gini,50,dave2v1,0.175,
4,0.21332459151744843,0.15542666784871934,0.18437562968308388,12,2,udacity,gini,100,dave2v1,0.175,
3,0.10648497194051743,0.0029997494655416776,0.054742360703029555,13,5,udacity,gini,150,dave2v1,0.175,
4,0.14643101394176483,,,14,1,udacity,gini,200,dave2v1,0.175,
5,0.17960864305496216,0.08298053880524317,0.13129459093010265,18,3,udacity,gd,50,dave2v1,0.175,
6,0.12462504953145981,0.16238627983750537,0.1435056646844826,34,3,udacity,gd,100,dave2v1,0.175,
14,0.2898886501789093,0.24412695242001667,0.267007801299463,48,2,udacity,gd,150,dave2v1,0.175,
18,0.323762446641922,0.21369659815398026,0.2687295223979511,68,9,udacity,gd,200,dave2v1,0.175,
11,0.3228495121002197,0.1925498196787422,0.25769966588948096,34,5,udacity,kmnc,50,dave2v1,0.175,
16,0.3305581212043762,0.20245303845626278,0.26650557983031953,58,8,udacity,kmnc,100,dave2v1,0.175,
